last_name, first_name,player_id,team_name_alt,pitch_type,pitch_name,run_value_per_100,run_value,pitches,pitch_usage,pa,ba,slg,woba,whiff_percent,k_percent,put_away,est_ba,est_slg,est_woba,hard_hit_percent
Cole, Gerrit,543037,NYY,FF,4-Seamer,-1.2,-17,1399,47.1,312,0.225,0.398,0.292,27.6,34,24.1,0.223,0.421,0.295,49.5
Peralta, Freddy,642547,MIL,FF,4-Seamer,-1.7,-20,1216,51.6,310,0.156,0.308,0.278,31,35.5,28.9,0.176,0.322,0.281,41.9
Gray, Jon,592351,COL,FF,4-Seamer,1.3,15,1208,47.6,309,0.331,0.518,0.404,17.1,15.9,16.1,0.292,0.461,0.363,44.2
Taillon, Jameson,592791,NYY,FF,4-Seamer,-0.5,-6,1175,49.5,306,0.199,0.399,0.296,28,28.8,21.6,0.202,0.404,0.294,46.9
Rodón, Carlos,607074,CWS,FF,4-Seamer,-2,-26,1302,58.7,301,0.199,0.336,0.278,29.7,29.9,25.4,0.205,0.369,0.282,40
Garcia, Luis,677651,HOU,FF,4-Seamer,-0.2,-3,1118,44.7,299,0.301,0.488,0.384,19.1,16.4,17.2,0.298,0.507,0.389,50.2
Scherzer, Max,453286,LAD,FF,4-Seamer,-1.4,-18,1316,46.7,299,0.193,0.359,0.281,30.7,31.1,26.2,0.202,0.385,0.287,40.8
Fried, Max,608331,ATL,FF,4-Seamer,-1.1,-11,998,39,294,0.264,0.4,0.322,16.4,14.3,15.8,0.273,0.395,0.321,38.2
Snell, Blake,605483,SD,FF,4-Seamer,-0.8,-10,1232,52.5,289,0.213,0.406,0.328,21.4,26,23.1,0.248,0.501,0.37,44.5
Heaney, Andrew,571760,NYY,FF,4-Seamer,0,0,1338,57.4,287,0.271,0.537,0.371,27.8,27.5,18.9,0.236,0.451,0.329,45
Skubal, Tarik,669373,DET,FF,4-Seamer,0.8,9,1090,42.8,283,0.291,0.611,0.42,24,24.7,19.2,0.306,0.627,0.43,52.5
Lyles, Jordan,543475,TEX,FF,4-Seamer,1,12,1170,39.5,283,0.298,0.603,0.416,20.1,17,15.6,0.273,0.548,0.389,45.2
Eovaldi, Nathan,543135,BOS,FF,4-Seamer,-0.2,-2,1237,42.3,282,0.312,0.468,0.36,19.4,22,18.7,0.265,0.401,0.314,38.9
Irvin, Cole,608344,OAK,FF,4-Seamer,-0.6,-7,1087,40.5,280,0.258,0.398,0.323,18.7,20,18.1,0.265,0.439,0.334,42.4
Hill, Rich,448179,NYM,FF,4-Seamer,0.2,3,1177,47.2,278,0.266,0.512,0.36,22,25.5,25.7,0.254,0.482,0.341,42.1
Minor, Mike,501985,KC,FF,4-Seamer,-0.3,-4,1123,42.8,278,0.246,0.472,0.342,18.9,22.3,20.5,0.224,0.447,0.316,36.3
Kaprielian, James,621076,OAK,FF,4-Seamer,0.2,2,1069,52.8,276,0.25,0.471,0.357,27.8,25.7,20.5,0.232,0.431,0.332,43.5
Gallen, Zac,668678,ARI,FF,4-Seamer,-0.9,-11,1128,53.7,272,0.217,0.366,0.318,15.3,25.4,21.5,0.234,0.388,0.316,47.1
Javier, Cristian,664299,HOU,FF,4-Seamer,-0.1,-1,1065,59.4,271,0.226,0.421,0.353,26.4,24.4,21.3,0.274,0.53,0.401,51
Giolito, Lucas,608337,CWS,FF,4-Seamer,0,0,1303,43.9,270,0.251,0.427,0.339,25.6,22.2,17.2,0.255,0.45,0.342,42.8
Allard, Kolby,663465,TEX,FF,4-Seamer,0.1,1,964,46.9,264,0.229,0.445,0.326,18.7,24.2,21.1,0.254,0.47,0.334,42.5
Bubic, Kris,663460,KC,FF,4-Seamer,-0.6,-7,1144,52,262,0.217,0.355,0.318,20.8,20.6,19.1,0.244,0.412,0.347,39.8
Woodruff, Brandon,605540,MIL,FF,4-Seamer,-0.9,-8,947,33.7,260,0.19,0.328,0.271,30.5,43.5,25.6,0.212,0.349,0.284,33.6
Flexen, Chris,623167,SEA,FF,4-Seamer,-0.7,-8,1124,40,257,0.273,0.459,0.344,18,23,17.4,0.244,0.463,0.333,43.1
Greinke, Zack,425844,HOU,FF,4-Seamer,-0.4,-4,1027,39.9,255,0.267,0.492,0.345,11.9,17.3,19.8,0.291,0.505,0.355,47.2
Keller, Mitch,656605,PIT,FF,4-Seamer,0.3,3,1054,56.7,253,0.313,0.495,0.39,17.7,19.8,17.6,0.282,0.473,0.368,46.5
Smyly, Drew,592767,ATL,FF,4-Seamer,0.7,7,998,46.7,250,0.329,0.586,0.426,13.7,11.6,11.3,0.312,0.548,0.396,48.2
Morton, Charlie,450203,ATL,FF,4-Seamer,-0.3,-3,1075,36,248,0.23,0.355,0.3,23.2,27,19.3,0.233,0.392,0.31,40.4
Paddack, Chris,663978,SD,FF,4-Seamer,0.7,8,1149,61.5,246,0.314,0.531,0.383,21.1,18.7,13.9,0.303,0.514,0.364,46.5
Anderson, Ian,666120,ATL,FF,4-Seamer,-1.3,-13,1025,47.1,246,0.216,0.349,0.287,21.1,21.1,19,0.242,0.409,0.319,40.6
Espino, Paolo,502179,WSH,FF,4-Seamer,0.4,4,958,55.2,243,0.289,0.524,0.369,11.8,14.4,14.2,0.289,0.539,0.364,49.7
Pineda, Michael,501381,MIN,FF,4-Seamer,-0.9,-8,925,54.2,243,0.284,0.493,0.364,14.6,14.8,14.6,0.307,0.555,0.38,56.2
Suter, Brent,608718,MIL,FF,4-Seamer,-1,-9,886,72.6,240,0.256,0.395,0.322,20.3,23.3,21.5,0.245,0.384,0.297,36.1
Lynn, Lance,458681,CWS,FF,4-Seamer,-1.5,-16,1051,40.3,238,0.187,0.297,0.255,32.5,35.7,23.5,0.173,0.297,0.24,45.9
Anderson, Tyler,542881,SEA,FF,4-Seamer,0.2,2,952,36.6,238,0.261,0.469,0.346,22,22.7,16.7,0.264,0.474,0.352,37.4
Means, John,607644,BAL,FF,4-Seamer,0.1,2,1116,47.9,238,0.233,0.507,0.346,21.1,20.6,14.6,0.265,0.564,0.372,51.2
Walker, Taijuan,592836,NYM,FF,4-Seamer,0.2,1,901,35.4,232,0.218,0.469,0.324,24.4,29.3,21.1,0.227,0.477,0.326,46.6
Akin, Keegan,669211,BAL,FF,4-Seamer,-0.7,-7,1011,57.2,231,0.25,0.451,0.331,20,22.1,14.2,0.253,0.487,0.353,43.9
Montas, Frankie,593423,OAK,FF,4-Seamer,-0.4,-3,879,29,230,0.214,0.405,0.309,24.6,27.8,20,0.245,0.469,0.332,50.3
Urquidy, José,664353,HOU,FF,4-Seamer,-1.1,-10,896,54.9,227,0.237,0.423,0.298,19.8,16.7,15.7,0.264,0.493,0.334,40.8
Gutierrez, Vladimir,661269,CIN,FF,4-Seamer,1.1,10,865,47.2,226,0.315,0.569,0.417,14.1,13.3,14.4,0.287,0.512,0.375,50.6
Smith, Caleb,592761,ARI,FF,4-Seamer,0.4,4,995,48.1,226,0.234,0.446,0.366,21.7,21.2,18.1,0.233,0.451,0.362,36.5
Nola, Aaron,605400,PHI,FF,4-Seamer,-0.4,-4,1115,37.5,225,0.265,0.471,0.352,22.4,23.6,19.8,0.257,0.522,0.36,45.4
Rodríguez, Richard,593144,ATL,FF,4-Seamer,-1.6,-13,813,86.1,222,0.221,0.399,0.281,17.9,14.9,12.9,0.255,0.501,0.333,45
Odorizzi, Jake,543606,HOU,FF,4-Seamer,-0.6,-6,1020,55.2,221,0.236,0.4,0.317,23.2,24,16.3,0.227,0.414,0.316,40.7
Williams, Trevor,592866,NYM,FF,4-Seamer,-0.7,-6,743,48.3,219,0.274,0.442,0.362,19.2,22.8,20.8,0.253,0.418,0.335,35.7
McGee, Jake,459429,SF,FF,4-Seamer,-1.1,-9,791,90.1,215,0.194,0.333,0.263,18.9,22.8,18.4,0.219,0.396,0.28,49
Plesac, Zach,668676,CLE,FF,4-Seamer,1.9,18,919,41.7,214,0.325,0.623,0.439,17,14.5,13.2,0.32,0.633,0.43,54
Stripling, Ross,548389,TOR,FF,4-Seamer,0.5,4,859,50.9,209,0.263,0.579,0.389,22.3,23.9,20.4,0.272,0.581,0.384,48.6
Hoffman, Jeff,656546,CIN,FF,4-Seamer,0.5,4,762,56,208,0.276,0.518,0.411,24.1,19.2,18.6,0.263,0.472,0.376,44.7
Ober, Bailey,641927,MIN,FF,4-Seamer,-1,-9,856,58,208,0.251,0.466,0.326,24.8,28.4,18.6,0.235,0.444,0.322,48.9
Ryu, Hyun Jin,547943,TOR,FF,4-Seamer,-0.1,-1,947,35.2,204,0.27,0.497,0.356,18.4,19.1,19.3,0.276,0.513,0.363,58.4
McClanahan, Shane,663556,TB,FF,4-Seamer,-0.4,-3,799,40.9,204,0.308,0.5,0.39,19.3,15.7,19.5,0.322,0.573,0.411,55
Patiño, Luis,672715,TB,FF,4-Seamer,-0.6,-5,826,60.5,204,0.228,0.37,0.309,23.1,18.1,15.3,0.259,0.47,0.338,44.7
Corbin, Patrick,571578,WSH,FF,4-Seamer,1.5,12,766,27.9,204,0.337,0.539,0.408,11.9,10.3,12.6,0.335,0.547,0.409,37.3
Harvey, Matt,518774,BAL,FF,4-Seamer,2,15,760,34.1,202,0.319,0.568,0.408,15.3,18.3,14.7,0.325,0.612,0.417,50.7
Widener, Taylor,642203,ARI,FF,4-Seamer,0.3,2,809,66.5,202,0.259,0.494,0.388,20.2,19.8,20,0.275,0.539,0.396,50.4
Rasmussen, Drew,656876,TB,FF,4-Seamer,-1.7,-13,781,65,200,0.221,0.337,0.287,25,22,20.2,0.265,0.391,0.319,55.1
Green, Chad,643338,NYY,FF,4-Seamer,-1.3,-11,855,65.2,199,0.184,0.362,0.269,29.9,32.2,21.8,0.218,0.416,0.29,47.6
González, Chi Chi,592346,COL,FF,4-Seamer,1.5,12,758,46.4,199,0.328,0.531,0.401,14.6,13.1,13.2,0.314,0.54,0.393,44.8
Lauer, Eric,641778,MIL,FF,4-Seamer,0.4,3,858,43.9,198,0.25,0.407,0.339,26.5,29.3,18.3,0.217,0.387,0.305,36.4
Megill, Tylor,656731,NYM,FF,4-Seamer,-0.2,-2,895,57.6,198,0.261,0.494,0.357,21.5,26.8,19.3,0.231,0.44,0.329,47.2
Hernández, Carlos,672578,KC,FF,4-Seamer,-1.1,-9,800,55.8,198,0.216,0.364,0.327,22.2,18.7,18.6,0.239,0.4,0.35,46
Velasquez, Vince,592826,SD,FF,4-Seamer,0.9,7,874,49.9,197,0.222,0.581,0.394,26.5,27.9,20.8,0.213,0.505,0.356,48.7
Rodriguez, Eduardo,593958,BOS,FF,4-Seamer,0.3,3,1085,39.9,197,0.297,0.491,0.373,31.3,32.5,20.9,0.231,0.384,0.307,33.6
Moore, Matt,519043,PHI,FF,4-Seamer,0.5,4,710,56.6,195,0.305,0.537,0.403,17.9,15.9,17,0.275,0.473,0.363,41.8
Ohtani, Shohei,660271,LAA,FF,4-Seamer,-0.1,-1,894,44.1,194,0.289,0.509,0.398,20.8,18,22.4,0.28,0.459,0.382,50.8
Kelly, Merrill,518876,ARI,FF,4-Seamer,0.8,6,775,32,191,0.311,0.598,0.411,18.9,17.3,18.6,0.258,0.516,0.361,43.5
Gomber, Austin,596295,COL,FF,4-Seamer,0.5,4,753,40.7,190,0.299,0.567,0.419,13.9,11.6,15.7,0.312,0.572,0.41,40
Matzek, Tyler,554431,ATL,FF,4-Seamer,-1.8,-14,753,70.7,188,0.192,0.288,0.287,22.6,22.3,21,0.212,0.328,0.303,42.9
Hearn, Taylor,621368,TEX,FF,4-Seamer,-0.8,-6,798,46.2,187,0.241,0.422,0.336,22.9,26.2,20.2,0.268,0.447,0.348,41.9
Doolittle, Sean,448281,SEA,FF,4-Seamer,0.3,2,702,81.1,183,0.27,0.497,0.368,23.4,23.5,19,0.229,0.426,0.321,41.7
Bumgarner, Madison,518516,ARI,FF,4-Seamer,-0.2,-1,748,32.6,183,0.198,0.395,0.303,17.8,20.2,17.7,0.249,0.477,0.347,40.2
Keller, Brad,641745,KC,FF,4-Seamer,2.5,18,700,29.8,182,0.325,0.51,0.405,22.5,19.2,17.5,0.302,0.572,0.422,37.8
Stanek, Ryne,592773,HOU,FF,4-Seamer,-0.5,-3,696,59.7,181,0.228,0.389,0.342,26.1,19.3,18.4,0.239,0.469,0.364,47.8
Glasnow, Tyler,607192,TB,FF,4-Seamer,-1.5,-10,691,51.6,181,0.197,0.338,0.293,27.8,26,25.1,0.215,0.365,0.306,50
Kennedy, Ian,453178,PHI,FF,4-Seamer,-1.6,-12,742,82.5,179,0.207,0.372,0.282,27.1,27.4,21.2,0.211,0.396,0.29,46.6
Estévez, Carlos,608032,COL,FF,4-Seamer,0.2,1,663,65.8,179,0.295,0.487,0.372,22.8,24,21.3,0.268,0.472,0.355,42.2
Wacha, Michael,608379,TB,FF,4-Seamer,-0.3,-2,713,36.1,178,0.238,0.494,0.332,18.3,21.9,18.6,0.31,0.627,0.413,55.1
Bauer, Trevor,545333,LAD,FF,4-Seamer,-2,-14,719,40.2,177,0.175,0.364,0.298,25.1,27.7,24.1,0.223,0.486,0.348,54.3
Pagán, Emilio,641941,SD,FF,4-Seamer,0,0,672,61.2,177,0.228,0.538,0.355,26.6,27.7,22.3,0.234,0.554,0.362,55.5
Berríos, José,621244,TOR,FF,4-Seamer,0.7,5,811,26.7,176,0.275,0.537,0.38,21.3,19.9,16.7,0.282,0.551,0.382,44
Kim, Kwang Hyun,547942,STL,FF,4-Seamer,-0.4,-3,731,41,176,0.295,0.442,0.371,10.1,6.8,7.6,0.299,0.476,0.369,41.5
Lester, Jon,452657,STL,FF,4-Seamer,1.3,10,740,31.1,176,0.338,0.556,0.421,16.3,14.2,13.8,0.311,0.523,0.392,42.4
deGrom, Jacob,594798,NYM,FF,4-Seamer,-2,-14,704,57.4,175,0.158,0.303,0.224,30,35.4,38,0.17,0.312,0.232,40.4
Jax, Griffin,643377,MIN,FF,4-Seamer,0.2,1,640,45.9,174,0.268,0.569,0.386,12.8,10.9,11.6,0.275,0.616,0.406,50
Kopech, Michael,656629,CWS,FF,4-Seamer,-0.7,-5,726,62.9,173,0.212,0.397,0.313,31.7,34.1,29.4,0.196,0.368,0.29,45.7
Gray, Josiah,680686,WSH,FF,4-Seamer,1.2,8,626,51.6,172,0.282,0.62,0.423,17.8,14.5,15.2,0.27,0.606,0.409,41.5
Rogers, Tyler,643511,SF,FF,4-Seamer,-0.4,-3,599,53.1,171,0.342,0.422,0.378,11.4,6.4,12.6,0.305,0.377,0.324,40
Alcantara, Sandy,645261,MIA,FF,4-Seamer,0.6,4,668,21.6,170,0.234,0.399,0.309,23.3,25.9,17.1,0.24,0.417,0.305,44.3
Karinchak, James,675916,CLE,FF,4-Seamer,-0.2,-2,696,67.4,170,0.194,0.403,0.321,28.2,27.6,22.1,0.205,0.39,0.333,43.6
Morgan, Eli,669212,CLE,FF,4-Seamer,0.1,1,687,48.6,169,0.283,0.52,0.375,18.6,18.9,17.7,0.251,0.455,0.333,45.1
Gallegos, Giovanny,606149,STL,FF,4-Seamer,-1.7,-11,653,52.8,168,0.201,0.315,0.264,25.2,28.6,22.2,0.223,0.363,0.291,46.2
Steckenrider, Drew,608716,SEA,FF,4-Seamer,-1.9,-12,664,65.9,168,0.216,0.346,0.275,18.6,19,17.7,0.238,0.381,0.296,37.4
Kikuchi, Yusei,579328,SEA,FF,4-Seamer,-0.1,-1,914,35.7,168,0.209,0.419,0.321,30.6,33.3,21.4,0.257,0.498,0.362,51.1
Stephan, Trevor,663986,CLE,FF,4-Seamer,-0.5,-3,723,59.8,167,0.274,0.493,0.385,25.1,20.4,15.5,0.294,0.557,0.402,48.7
Robles, Hansel,570663,BOS,FF,4-Seamer,0.4,3,653,55.1,167,0.243,0.45,0.362,22.4,26.3,19.2,0.238,0.458,0.357,59.8
Flaherty, Jack,656427,STL,FF,4-Seamer,-0.8,-6,684,50.6,166,0.193,0.379,0.307,17.1,22.9,17.3,0.26,0.485,0.357,44.5
Sewald, Paul,623149,SEA,FF,4-Seamer,-2.1,-13,644,58.3,165,0.18,0.32,0.262,33,38.8,28.3,0.184,0.351,0.269,40.7
Weathers, Ryan,677960,SD,FF,4-Seamer,1.2,8,696,43,165,0.34,0.641,0.438,17.8,18.2,16.9,0.298,0.553,0.38,50.4
Stratton, Chris,608717,PIT,FF,4-Seamer,-1,-7,665,48.4,163,0.245,0.392,0.325,21.9,23.3,17.8,0.234,0.428,0.327,42.5
Heuer, Codi,676051,CHC,FF,4-Seamer,0.7,4,589,56.1,163,0.336,0.566,0.421,13,6.7,9.4,0.324,0.526,0.389,45.3
Foltynewicz, Mike,592314,TEX,FF,4-Seamer,0.5,3,657,29.4,163,0.287,0.62,0.396,11.2,9.2,8.6,0.321,0.649,0.427,52.6
Weaver, Luke,596133,ARI,FF,4-Seamer,-0.5,-4,687,61.9,163,0.224,0.448,0.328,20.4,19.6,15.6,0.256,0.492,0.358,40.9
Cueto, Johnny,456501,SF,FF,4-Seamer,-1.4,-10,677,36,162,0.219,0.342,0.282,28.1,32.1,18.1,0.214,0.387,0.296,43.2
Cortes, Nestor,641482,NYY,FF,4-Seamer,-1.8,-12,648,42.5,161,0.196,0.365,0.289,23.2,34.2,25.6,0.19,0.355,0.266,42.6
Castillo, Luis,622491,CIN,FF,4-Seamer,0.5,4,901,28.5,160,0.257,0.478,0.364,30.3,31.3,20.9,0.205,0.36,0.295,34.1
May, Trevor,543507,NYM,FF,4-Seamer,-1.5,-10,673,60.3,160,0.217,0.371,0.298,33.2,38.8,25.6,0.179,0.353,0.274,42
Ruiz, José,614179,CWS,FF,4-Seamer,-0.7,-4,617,59.5,158,0.217,0.406,0.312,21.8,17.7,16.7,0.248,0.471,0.349,50.9
Boxberger, Brad,502202,MIL,FF,4-Seamer,-1.8,-11,600,55.9,157,0.181,0.333,0.274,33.5,39.5,26.5,0.192,0.351,0.283,46.8
Hendriks, Liam,521230,CWS,FF,4-Seamer,-2.3,-17,761,67.3,157,0.216,0.379,0.265,30.3,28,21.8,0.218,0.437,0.285,44
Brentz, Jake,641394,KC,FF,4-Seamer,-0.8,-5,645,58.3,157,0.211,0.333,0.329,21.8,21.7,23.4,0.228,0.362,0.34,40.2
Ynoa, Huascar,660623,ATL,FF,4-Seamer,-0.2,-1,600,40.5,156,0.254,0.529,0.364,14.6,14.7,15.2,0.305,0.571,0.4,55.6
Diekman, Jake,518617,OAK,FF,4-Seamer,0.4,3,630,56.4,154,0.244,0.473,0.374,31.6,27.9,21.8,0.243,0.465,0.358,45.5
Crowe, Wil,640444,PIT,FF,4-Seamer,2.1,16,758,34.9,153,0.328,0.597,0.464,20.4,20.9,15.8,0.236,0.476,0.383,40.4
Kershaw, Clayton,477132,LAD,FF,4-Seamer,0.8,5,662,36.7,152,0.299,0.453,0.361,16.9,7.9,13.3,0.308,0.482,0.367,35.9
Mize, Casey,663554,DET,FF,4-Seamer,-0.6,-4,685,29.1,152,0.224,0.455,0.332,25.3,30.3,17.9,0.223,0.465,0.332,47.2
Smith, Will,519293,ATL,FF,4-Seamer,-0.4,-2,510,47.3,151,0.25,0.469,0.361,18.4,21.2,22.1,0.266,0.473,0.366,52
Miley, Wade,489119,CIN,FF,4-Seamer,-0.9,-4,423,16.3,151,0.252,0.345,0.295,17.5,25.8,17.1,0.235,0.39,0.3,40
Manoah, Alek,666201,TOR,FF,4-Seamer,-0.8,-6,668,36.2,150,0.2,0.331,0.29,32.5,32,21.6,0.174,0.326,0.275,34.1
Oviedo, Johan,670912,STL,FF,4-Seamer,0.5,3,579,53.3,150,0.25,0.347,0.335,13.6,11.3,12.2,0.279,0.395,0.354,41.3
Suarez, José,660761,LAA,FF,4-Seamer,0.4,2,652,39.5,149,0.292,0.546,0.388,18.3,16.8,13.9,0.321,0.53,0.404,42.5
DeSclafani, Anthony,543101,SF,FF,4-Seamer,-0.6,-4,692,27.1,149,0.25,0.432,0.327,22.7,15.4,13.1,0.245,0.461,0.333,42.5
Manning, Matt,666159,DET,FF,4-Seamer,0.4,2,587,41.3,148,0.264,0.403,0.331,16.8,17.6,15.7,0.255,0.413,0.334,39
Kremer, Dean,665152,BAL,FF,4-Seamer,0.8,4,549,55.7,148,0.29,0.581,0.419,14.7,15.5,16.2,0.277,0.523,0.385,51
Hernandez, Darwinzon,650382,BOS,FF,4-Seamer,-0.4,-2,551,73.1,147,0.182,0.282,0.326,30.8,27.2,25,0.213,0.336,0.343,37
Bassitt, Chris,605135,OAK,FF,4-Seamer,-1.5,-7,457,19.2,147,0.185,0.281,0.228,26.7,37.4,20.2,0.173,0.263,0.22,33.7
Boyd, Matthew,571510,DET,FF,4-Seamer,-0.4,-2,535,42,147,0.276,0.433,0.347,18,14.3,13.6,0.245,0.451,0.336,42.2
Richards, Trevor,670950,TOR,FF,4-Seamer,-2.3,-14,602,56.7,146,0.159,0.333,0.251,23.3,23.3,20.9,0.231,0.456,0.325,47.5
Sborz, Josh,622250,TEX,FF,4-Seamer,-0.2,-1,588,54.5,144,0.226,0.363,0.316,27.7,22.2,18.8,0.242,0.385,0.322,45.2
Kimbrel, Craig,518886,CWS,FF,4-Seamer,-0.9,-6,585,58,144,0.18,0.385,0.293,33.2,36.8,27.5,0.177,0.335,0.279,48.6
Hudson, Daniel,543339,SD,FF,4-Seamer,0,0,590,68.2,143,0.246,0.444,0.341,28.3,29.4,23,0.233,0.466,0.327,47.7
Hentges, Sam,656529,CLE,FF,4-Seamer,2.7,14,522,41.4,142,0.403,0.637,0.481,10.5,5.6,7.7,0.347,0.668,0.458,47
Díaz, Edwin,621242,NYM,FF,4-Seamer,0.6,4,615,61.6,140,0.233,0.379,0.331,25.8,25,19.7,0.223,0.355,0.311,28.2
Bieber, Shane,669456,CLE,FF,4-Seamer,-0.1,-1,551,35.3,140,0.272,0.48,0.36,22.8,33.6,29.4,0.232,0.422,0.321,56.4
Littell, Zack,641793,SF,FF,4-Seamer,-1.5,-8,574,57.8,140,0.167,0.333,0.273,31,35.7,24.9,0.184,0.355,0.282,47.9
García, Jarlín,606424,SF,FF,4-Seamer,-2.3,-12,501,50,139,0.19,0.397,0.299,19.1,26.6,26.6,0.225,0.396,0.302,50
Strickland, Hunter,519326,MIL,FF,4-Seamer,-1,-5,503,51.3,138,0.225,0.383,0.322,23,22.5,18.5,0.215,0.383,0.303,28.6
Romano, Jordan,605447,TOR,FF,4-Seamer,-1.8,-12,642,62.3,137,0.14,0.289,0.238,28.9,35,25,0.164,0.302,0.253,33.8
Cabrera, Génesis,650893,STL,FF,4-Seamer,-0.4,-2,534,44.7,137,0.165,0.275,0.288,26.6,32.8,24.6,0.189,0.334,0.314,43.9
Musgrove, Joe,605397,SD,FF,4-Seamer,0.3,2,597,20.3,137,0.319,0.571,0.419,20.8,21.2,19.2,0.268,0.495,0.368,46.2
Wittgren, Nick,621295,CLE,FF,4-Seamer,-0.9,-5,570,56,136,0.234,0.5,0.329,24.9,28.7,19.2,0.271,0.523,0.354,48.9
Bundy, Dylan,605164,LAA,FF,4-Seamer,0.7,4,522,34.3,136,0.237,0.474,0.368,19.3,19.1,19.7,0.227,0.448,0.348,38.2
Kinley, Tyler,641755,COL,FF,4-Seamer,0.9,4,492,43,135,0.259,0.534,0.382,14.3,11.1,16.9,0.289,0.485,0.377,45.1
Voth, Austin,608723,WSH,FF,4-Seamer,0.3,2,607,59.5,135,0.292,0.531,0.389,20.8,23.7,18.8,0.306,0.575,0.414,53.5
Lynch, Daniel,663738,KC,FF,4-Seamer,1.1,6,509,40.5,135,0.385,0.581,0.434,12.2,8.9,9.1,0.367,0.617,0.455,46.8
Bednar, David,670280,PIT,FF,4-Seamer,-1.8,-9,521,55.8,134,0.195,0.35,0.269,27.9,29.9,24.4,0.198,0.325,0.261,32.5
Thielbar, Caleb,573204,MIN,FF,4-Seamer,-2.3,-12,542,49,134,0.227,0.403,0.3,21.7,27.6,19.7,0.225,0.487,0.328,57
Crochet, Garrett,676979,CWS,FF,4-Seamer,0.1,1,588,64.3,134,0.288,0.405,0.378,19.3,13.4,16.5,0.278,0.406,0.359,44.2
Brothers, Rex,571521,CHC,FF,4-Seamer,1.2,8,654,65.5,134,0.287,0.525,0.445,20.9,16.4,22.2,0.322,0.595,0.464,54.4
Wilson, Bryse,669060,PIT,FF,4-Seamer,0.9,4,505,44.5,134,0.317,0.558,0.399,23.7,14.9,16,0.297,0.559,0.391,45.2
Howard, Spencer,675921,TEX,FF,4-Seamer,0.4,2,570,60.9,133,0.257,0.416,0.353,24.8,22.6,18.6,0.241,0.387,0.333,42.2
Gray, Sonny,543243,CIN,FF,4-Seamer,0,0,530,23.8,132,0.281,0.465,0.38,17,9.1,16.4,0.284,0.4,0.345,30.8
Taylor, Blake,642130,HOU,FF,4-Seamer,-1.5,-8,542,72.5,132,0.216,0.288,0.311,25.4,25,24.1,0.185,0.259,0.265,23.8
Maton, Phil,664208,HOU,FF,4-Seamer,0.1,0,577,49.1,130,0.206,0.412,0.338,37.8,33.1,24,0.197,0.356,0.323,30.6
Bowden, Ben,641386,COL,FF,4-Seamer,1.9,9,478,70.9,130,0.318,0.573,0.437,23.5,23.1,23.3,0.264,0.467,0.364,42.7
